Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
11:16.2,4.334985,8.436157,17.434844,-1.410872,-0.633724,0.567616,-3.841743,-45.99939,-11.471741,-105.405208,-29.569723,-10.013994,1
11:16.3,-6.063441,0.339943,-2.873874,-2.829188,-0.610898,-2.071879,2.359962,-40.863235,-21.919647,-91.242126,-16.17693,-12.486686,1
11:16.4,-3.475622,1.839375,-2.420766,1.034272,1.696053,-0.728606,9.072899,-40.62233,-20.827271,-85.15726,-19.864703,-5.698799,1
11:16.5,-3.182981,3.282075,30.501472,-0.707715,2.534307,-0.9307,16.715706,-39.295654,-17.906433,-80.325068,-17.02911,11.14638,1
11:16.6,0.452509,2.069147,18.510807,0.627199,-0.105957,0.729771,12.455482,-40.918045,-17.606567,-83.689927,-17.540524,9.118942,1
11:16.7,-0.688867,4.370162,-6.262527,0.129694,-0.344156,0.216802,12.880569,-39.583542,-20.533997,-86.154757,-16.475657,6.991815,1
11:16.8,0.228874,1.892814,-2.6209,1.999259,-0.388266,1.371895,8.349953,-43.358444,-15.507477,-92.300274,-26.803915,0.110071,1
11:16.9,1.964964,0.939596,17.41284,1.325369,-0.705376,-0.03409,6.035942,-44.976585,-10.825928,-93.896613,-32.749278,-4.317812,1
11:17.0,5.889802,8.321795,26.15032,0.902843,-0.632661,0.33607,4.074219,-44.402336,-6.899323,-94.748539,-34.668559,-11.984808,1
11:17.1,-1.384321,5.485193,-2.842289,-3.234088,-0.236993,-0.180943,4.983147,-41.10804,-19.013489,-88.243457,-21.622882,-13.103746,1
11:17.2,-0.441731,2.793341,-5.253176,2.540333,0.073475,1.085316,3.1175,-45.497643,-12.075317,-93.718682,-32.714402,-17.313392,1
11:17.3,2.176175,4.432283,12.491374,-0.835625,1.392713,-0.141888,3.771828,-45.363464,-10.791687,-94.550792,-33.884842,-13.96434,1
11:17.4,6.623726,9.63187,23.142625,1.749286,-0.975193,0.18886,3.77243,-44.797058,-6.494293,-94.101462,-37.186009,-18.99019,1
11:17.5,-1.470841,2.69275,0.119152,-2.304312,0.053076,-1.246933,7.963364,-42.615746,-13.175903,-84.840108,-30.270262,-11.022887,1
11:17.6,-1.007704,1.455124,-2.398911,0.849719,-0.895056,-0.993142,12.421432,-42.513336,-14.628265,-78.87758,-30.645766,-6.108536,1
11:17.7,3.935167,3.054548,15.796651,-1.466571,0.889072,1.570509,7.443909,-41.506493,-18.169495,-85.222282,-21.86033,-6.920055,1
11:17.8,4.288133,11.462264,21.30804,-0.395659,1.166904,1.5161,2.004898,-41.460022,-18.360474,-92.318304,-18.167234,-6.879067,1
11:17.9,2.099983,3.00545,6.503676,-2.262592,-0.663591,-0.296783,0.708359,-39.67466,-21.404449,-91.306095,-13.651406,-10.231995,1
11:18.0,0.592917,-0.366139,-1.349594,2.297178,-0.132833,-0.108331,3.74456,-42.160721,-18.713959,-90.792005,-22.063944,-9.037801,1
11:18.1,0.979713,1.623823,4.5203,2.409328,0.150527,-1.029559,7.838852,-46.095459,-9.585541,-86.633936,-37.01248,-6.250441,1
11:18.2,-2.223327,16.385975,17.846937,-0.182796,-0.995436,-1.426046,11.91951,-44.085228,-8.315948,-77.451724,-37.938022,-5.249609,1
11:18.3,-2.384242,3.106789,1.59194,0.667379,1.407154,0.119536,12.271095,-44.724358,-7.725006,-77.789555,-39.401579,-3.954621,1
11:18.4,-1.929787,0.842897,-0.938099,-1.354224,0.324851,0.883446,10.482216,-43.591873,-14.079651,-79.673887,-30.748047,-4.767171,1
11:18.5,3.716022,4.204008,11.450588,-1.279056,1.495116,0.968115,8.035118,-42.912125,-16.356323,-85.294668,-24.635832,-0.652147,1
11:18.6,4.892576,14.205909,28.898306,-1.074219,-1.266397,1.502383,-2.249268,-42.413666,-17.335297,-95.445018,-19.61593,-8.665629,1
11:18.7,-0.029189,4.311335,1.219514,0.068555,-0.284409,-0.659032,0.651123,-44.377167,-15.306366,-95.811373,-26.147398,-5.705983,1
11:18.8,1.12985,-0.409399,0.873583,4.436545,-2.328161,-1.053987,5.200203,-48.885292,-2.135803,-91.298966,-47.653942,-11.554548,1
11:18.9,-1.824855,3.699108,2.088756,2.443935,0.867269,-2.768605,16.496292,-47.074471,9.174866,-65.55921,-63.515228,12.962784,1
11:19.0,-14.880556,13.303286,-7.368427,4.638464,-1.24106,-2.958554,28.637554,-34.896935,25.451752,15.160797,-69.401388,84.77575,1
11:19.1,-1.545536,-3.13523,1.991309,1.336715,-1.046434,0.572483,32.14122,-31.315849,26.163971,39.009604,-69.218002,99.249862,1
11:19.2,2.212699,-2.661166,2.836901,-4.287056,-0.314296,2.405835,25.373772,-42.778046,7.844604,-40.832832,-67.208992,17.918089,1
11:19.3,8.04038,4.399052,11.544144,-3.135984,-0.016134,3.135062,12.684631,-45.203812,-2.386169,-76.25916,-48.935556,-13.819345,1
11:19.4,24.989035,24.006179,22.588178,-2.153404,-1.324777,3.138329,-2.414879,-44.643166,-5.875519,-92.931557,-33.533634,-32.401901,1
11:19.5,-5.432802,2.393074,-1.230591,-1.7569,-0.464859,0.045178,-5.080162,-43.932167,-7.623566,-92.623458,-30.270738,-38.366942,1
11:19.6,-4.96248,-2.972369,-2.93809,0.932563,-1.839132,-3.240864,7.394081,-44.496017,-8.459595,-76.852734,-43.187329,-35.193545,1
11:19.7,8.440348,8.740324,6.759643,0.003045,-0.199218,-0.594069,10.956146,-43.218918,-7.846802,-71.984221,-46.220617,-33.008256,1
11:19.8,15.934364,18.495089,18.664687,-0.578917,-0.099773,0.273953,10.273964,-42.587181,-5.443634,-72.041281,-44.557517,-31.941813,1
11:19.9,-5.276527,-1.653911,1.092428,-1.416195,-1.362336,-2.374838,17.805054,-38.753456,-12.483093,-54.957462,-49.078809,-28.137473,1
11:20.0,-2.882556,-3.949238,-0.956361,-0.542877,-5.220793,-2.80583,17.11919,-35.723221,-23.045105,-29.806586,-58.881781,-34.82664,1
11:20.1,7.724088,6.359525,3.939657,0.759865,-3.263373,-1.577604,13.819763,-33.115974,-25.812531,-16.846431,-66.683118,-42.556351,1
11:20.2,11.729758,19.08142,25.8472,-3.771204,0.367578,-0.375659,17.43922,-18.875931,-30.32724,8.66639,-52.142177,-20.622048,1
11:20.3,-4.399202,2.584226,-0.383053,-1.208505,-3.453366,-0.373491,11.431114,-15.625832,-36.445312,16.487318,-43.08435,-26.622707,1
11:20.4,-2.618654,-2.449955,-1.13958,-1.352013,-4.411965,-3.305919,0.51564,-9.184471,-41.15451,45.164984,-41.298782,-25.27359,1
11:20.5,0.190853,1.800007,1.527424,0.519312,-2.172632,-2.420552,-5.872826,-11.314445,-40.731689,58.322789,-47.312687,-27.252765,1
11:20.6,14.434932,15.068714,32.91655,-1.609921,0.19347,-1.348458,-3.898079,-3.078537,-41.096832,74.478325,-40.324267,-15.714749,1
11:20.7,-3.270399,4.581373,1.526226,-1.954474,-2.132766,-0.582036,-7.210121,6.114861,-39.592407,83.422646,-29.119348,-14.805495,1
11:20.8,-2.993026,0.776435,-1.840722,-1.807612,0.036381,-1.763197,-5.691757,11.555695,-38.375427,95.56749,-19.437425,-6.116829,1
11:20.9,-1.31771,7.132069,9.451945,0.285849,0.75951,-0.089923,-5.459152,12.81636,-38.600159,97.539465,-18.80482,-3.882296,1
11:21.0,-7.331754,13.104798,29.312794,1.652367,1.108926,0.167297,1.370689,8.509903,-40.71991,96.660454,-25.76329,5.552352,1
